Date : 2020-05-17 23:42:05
Directory : /Users/fairy/work/bistu/Semitic
Total : 231 files,  102979 codes, 28041 comments, 17443 blanks, all 148463 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |         88 |     82,899 |     25,323 |     16,113 |    124,335 |
| CSS          |         52 |     10,508 |        817 |        602 |     11,927 |
| HTML         |         42 |      2,751 |        340 |        151 |      3,242 |
| XML          |          5 |      2,251 |          0 |          1 |      2,252 |
| JSON         |          3 |      1,806 |         21 |          9 |      1,836 |
| Python       |         17 |      1,054 |         56 |        177 |      1,287 |
| Less         |         13 |        747 |         43 |        110 |        900 |
| YAML         |          1 |        465 |      1,294 |        198 |      1,957 |
| PHP          |          5 |        429 |        140 |         65 |        634 |
| Markdown     |          1 |         38 |          0 |         11 |         49 |
| Shell Script |          3 |         27 |          3 |          3 |         33 |
| Properties   |          1 |          4 |          4 |          3 |         11 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        231 |    102,979 |     28,041 |     17,443 |    148,463 |
| api                                                                                                            |          5 |        468 |         17 |         56 |        541 |
| client                                                                                                         |          6 |      2,221 |      1,301 |        205 |      3,727 |
| client/conf                                                                                                    |          2 |        469 |      1,298 |        201 |      1,968 |
| client/upload_eve                                                                                              |          1 |      1,725 |          0 |          1 |      1,726 |
| client/upload_eve/success                                                                                      |          1 |      1,725 |          0 |          1 |      1,726 |
| crawler                                                                                                        |          3 |        137 |          7 |         17 |        161 |
| crawler/api                                                                                                    |          2 |         22 |          0 |          7 |         29 |
| lib                                                                                                            |          6 |        108 |         14 |         38 |        160 |
| static                                                                                                         |        190 |     98,817 |     26,369 |     16,984 |    142,170 |
| static/css                                                                                                     |         43 |      6,512 |        557 |        112 |      7,181 |
| static/css/skins                                                                                               |         39 |      6,507 |        523 |        112 |      7,142 |
| static/fonts                                                                                                   |          4 |      2,186 |          0 |          1 |      2,187 |
| static/js                                                                                                      |          9 |      2,480 |        341 |        756 |      3,577 |
| static/js/slimscroll                                                                                           |          2 |        308 |         95 |         84 |        487 |
| static/lib                                                                                                     |        134 |     87,639 |     25,471 |     16,115 |    129,225 |
| static/lib/layer                                                                                               |          4 |          4 |          2 |          0 |          6 |
| static/lib/layer/mobile                                                                                        |          2 |          2 |          1 |          0 |          3 |
| static/lib/layer/mobile/need                                                                                   |          1 |          1 |          0 |          0 |          1 |
| static/lib/layer/theme                                                                                         |          1 |          1 |          0 |          0 |          1 |
| static/lib/layer/theme/default                                                                                 |          1 |          1 |          0 |          0 |          1 |
| static/lib/ueditor                                                                                             |        130 |     87,635 |     25,469 |     16,115 |    129,219 |
| static/lib/ueditor/dialogs                                                                                     |         54 |      9,345 |      1,179 |      1,100 |     11,624 |
| static/lib/ueditor/dialogs/anchor                                                                              |          1 |         40 |          0 |          0 |         40 |
| static/lib/ueditor/dialogs/attachment                                                                          |          3 |      1,292 |         57 |        146 |      1,495 |
| static/lib/ueditor/dialogs/background                                                                          |          3 |        463 |         21 |         43 |        527 |
| static/lib/ueditor/dialogs/charts                                                                              |          4 |        583 |         53 |        203 |        839 |
| static/lib/ueditor/dialogs/emotion                                                                             |          3 |        259 |          3 |         22 |        284 |
| static/lib/ueditor/dialogs/gmap                                                                                |          1 |         87 |          0 |          2 |         89 |
| static/lib/ueditor/dialogs/help                                                                                |          3 |        122 |         19 |          4 |        145 |
| static/lib/ueditor/dialogs/image                                                                               |          3 |      1,799 |        166 |        192 |      2,157 |
| static/lib/ueditor/dialogs/insertframe                                                                         |          1 |         95 |          0 |          3 |         98 |
| static/lib/ueditor/dialogs/link                                                                                |          1 |        119 |          0 |          8 |        127 |
| static/lib/ueditor/dialogs/map                                                                                 |          2 |        236 |          2 |         16 |        254 |
| static/lib/ueditor/dialogs/music                                                                               |          3 |        240 |          0 |         15 |        255 |
| static/lib/ueditor/dialogs/preview                                                                             |          1 |         39 |          0 |          1 |         40 |
| static/lib/ueditor/dialogs/scrawl                                                                              |          3 |        760 |         26 |         54 |        840 |
| static/lib/ueditor/dialogs/searchreplace                                                                       |          2 |        226 |         32 |          8 |        266 |
| static/lib/ueditor/dialogs/snapscreen                                                                          |          1 |         56 |          0 |          2 |         58 |
| static/lib/ueditor/dialogs/spechars                                                                            |          2 |         71 |          7 |          1 |         79 |
| static/lib/ueditor/dialogs/table                                                                               |          5 |        435 |          7 |         37 |        479 |
| static/lib/ueditor/dialogs/template                                                                            |          4 |        121 |         14 |          5 |        140 |
| static/lib/ueditor/dialogs/video                                                                               |          3 |      1,280 |         87 |        146 |      1,513 |
| static/lib/ueditor/dialogs/webapp                                                                              |          1 |         50 |          0 |          3 |         53 |
| static/lib/ueditor/dialogs/wordimage                                                                           |          3 |        906 |        680 |        178 |      1,764 |
| static/lib/ueditor/lang                                                                                        |          2 |      1,321 |         16 |         18 |      1,355 |
| static/lib/ueditor/lang/en                                                                                     |          1 |        669 |          8 |          8 |        685 |
| static/lib/ueditor/lang/zh-cn                                                                                  |          1 |        652 |          8 |         10 |        670 |
| static/lib/ueditor/php                                                                                         |          6 |        494 |        161 |         73 |        728 |
| static/lib/ueditor/themes                                                                                      |          4 |      1,617 |         91 |        305 |      2,013 |
| static/lib/ueditor/themes/default                                                                              |          3 |      1,617 |         90 |        304 |      2,011 |
| static/lib/ueditor/themes/default/css                                                                          |          2 |      1,539 |         82 |        290 |      1,911 |
| static/lib/ueditor/third-party                                                                                 |         58 |     53,623 |     16,720 |     11,866 |     82,209 |
| static/lib/ueditor/third-party/SyntaxHighlighter                                                               |          2 |      2,471 |        688 |        498 |      3,657 |
| static/lib/ueditor/third-party/codemirror                                                                      |          2 |      3,378 |        176 |        133 |      3,687 |
| static/lib/ueditor/third-party/highcharts                                                                      |         33 |     19,942 |      5,087 |      3,922 |     28,951 |
| static/lib/ueditor/third-party/highcharts/adapters                                                             |          6 |        812 |        261 |        190 |      1,263 |
| static/lib/ueditor/third-party/highcharts/modules                                                              |         18 |      5,134 |        917 |        933 |      6,984 |
| static/lib/ueditor/third-party/highcharts/themes                                                               |          5 |        893 |         31 |         39 |        963 |
| static/lib/ueditor/third-party/video-js                                                                        |          5 |      4,149 |      2,866 |      1,061 |      8,076 |
| static/lib/ueditor/third-party/video-js/font                                                                   |          1 |         65 |          0 |          0 |         65 |
| static/lib/ueditor/third-party/webuploader                                                                     |         11 |     15,791 |      6,288 |      4,696 |     26,775 |
| static/lib/ueditor/third-party/zeroclipboard                                                                   |          2 |      1,239 |         16 |         10 |      1,265 |
| templates                                                                                                      |         16 |        833 |        315 |         66 |      1,214 |
| test                                                                                                           |          1 |         16 |          0 |          0 |         16 |
| thirdparty                                                                                                     |          1 |        167 |          6 |         34 |        207 |
| thirdparty/ansistrm                                                                                            |          1 |        167 |          6 |         34 |        207 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                       | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/fairy/work/bistu/Semitic/README.md                                                                      | Markdown     |         38 |          0 |         11 |         49 |
| /Users/fairy/work/bistu/Semitic/Semitic.py                                                                     | Python       |         60 |          5 |         19 |         84 |
| /Users/fairy/work/bistu/Semitic/api/analyze.py                                                                 | Python       |        208 |          9 |         19 |        236 |
| /Users/fairy/work/bistu/Semitic/api/database.py                                                                | Python       |         17 |          0 |          7 |         24 |
| /Users/fairy/work/bistu/Semitic/api/display.py                                                                 | Python       |         98 |          4 |         15 |        117 |
| /Users/fairy/work/bistu/Semitic/api/ioc.py                                                                     | Python       |         76 |          3 |          8 |         87 |
| /Users/fairy/work/bistu/Semitic/api/search.py                                                                  | Python       |         69 |          1 |          7 |         77 |
| /Users/fairy/work/bistu/Semitic/client/Semitic_start.sh                                                        | Shell Script |          8 |          1 |          1 |         10 |
| /Users/fairy/work/bistu/Semitic/client/Semitic_stop.sh                                                         | Shell Script |          1 |          1 |          0 |          2 |
| /Users/fairy/work/bistu/Semitic/client/conf/Semitic.conf                                                       | Properties   |          4 |          4 |          3 |         11 |
| /Users/fairy/work/bistu/Semitic/client/conf/suricata.yaml                                                      | YAML         |        465 |      1,294 |        198 |      1,957 |
| /Users/fairy/work/bistu/Semitic/client/senteven.sh                                                             | Shell Script |         18 |          1 |          2 |         21 |
| /Users/fairy/work/bistu/Semitic/client/upload_eve/success/eve_20200421071737.json                              | JSON         |      1,725 |          0 |          1 |      1,726 |
| /Users/fairy/work/bistu/Semitic/crawler/api/Database.py                                                        | Python       |         13 |          0 |          6 |         19 |
| /Users/fairy/work/bistu/Semitic/crawler/api/ioc.py                                                             | Python       |          9 |          0 |          1 |         10 |
| /Users/fairy/work/bistu/Semitic/crawler/threatbook.py                                                          | Python       |        115 |          7 |         10 |        132 |
| /Users/fairy/work/bistu/Semitic/lib/common.py                                                                  | Python       |         13 |          3 |          3 |         19 |
| /Users/fairy/work/bistu/Semitic/lib/convert.py                                                                 | Python       |         28 |          3 |         11 |         42 |
| /Users/fairy/work/bistu/Semitic/lib/data.py                                                                    | Python       |         12 |          7 |          8 |         27 |
| /Users/fairy/work/bistu/Semitic/lib/enums.py                                                                   | Python       |          5 |          0 |          1 |          6 |
| /Users/fairy/work/bistu/Semitic/lib/logger.py                                                                  | Python       |         45 |          0 |         13 |         58 |
| /Users/fairy/work/bistu/Semitic/lib/settings.py                                                                | Python       |          5 |          1 |          2 |          8 |
| /Users/fairy/work/bistu/Semitic/run.py                                                                         | Python       |        114 |          7 |         13 |        134 |
| /Users/fairy/work/bistu/Semitic/static/css/beyond.min.css                                                      | CSS          |          2 |          5 |          0 |          7 |
